BELNR,KUNNR,BLDAT,FAEDT,DMBTR,LOG_AMOUNT,PAYMENT_DAYS_NUM,INDUSTRY,INDUSTRY_CODE,REGION,REGION_CODE,ZTERM,CUST_AVG_DAYS_LATE,CUST_LATE_RATE,CUST_INVOICE_COUNT,CUST_AVG_AMOUNT,INVOICE_MONTH,INVOICE_QUARTER,INVOICE_DOW,IS_QUARTER_END,RISK_TIER,LATE_FLAG,DAYS_LATE
1800003224,C000001,2021-03-01,2021-03-31,75783.16,11.235644578816734,30,Logistics,3,Midwest,1,NT30,27.0,1.0,0,75783.16,3,1,0,1,Medium,1.0,27.0
1800003060,C000001,2021-03-28,2021-04-27,123901.31,11.727248711511232,30,Logistics,3,Midwest,1,NT30,22.5,1.0,1,99842.235,3,1,6,1,Medium,1.0,18.0
1800000999,C000001,2021-04-20,2021-05-20,168164.29,12.03270264375109,30,Logistics,3,Midwest,1,NT30,17.333333333333332,1.0,2,122616.25333333334,4,2,1,0,Medium,1.0,7.0
1800004014,C000001,2021-05-25,2021-06-24,134121.95,11.806512195566427,30,Logistics,3,Midwest,1,NT30,14.75,1.0,3,125492.6775,5,2,1,0,Medium,1.0,7.0
1800003373,C000001,2021-06-07,2021-07-07,57629.57,10.961808435063736,30,Logistics,3,Midwest,1,NT30,12.6,1.0,4,111920.05600000001,6,2,0,1,Medium,1.0,4.0
1800002425,C000001,2021-11-29,2021-12-29,33386.57,10.415938954009055,30,Logistics,3,Midwest,1,NT30,11.666666666666666,1.0,5,98831.14166666666,11,4,0,0,Medium,1.0,7.0
1800004037,C000001,2021-12-22,2022-01-21,133951.07,11.805237328380786,30,Logistics,3,Midwest,1,NT30,11.0,1.0,6,103848.27428571429,12,4,2,1,Medium,1.0,7.0
1800001057,C000001,2022-01-05,2022-02-04,56097.25,10.934859896728335,30,Logistics,3,Midwest,1,NT30,12.0,1.0,7,97879.39625,1,1,2,0,Medium,1.0,19.0
1800004719,C000001,2022-02-21,2022-03-23,141962.99,11.863328712874328,30,Logistics,3,Midwest,1,NT30,11.0,1.0,8,102777.57333333333,2,1,0,0,Medium,1.0,3.0
1800004693,C000001,2022-05-12,2022-06-11,200495.23,12.208550722559464,30,Logistics,3,Midwest,1,NT30,10.8,1.0,9,112549.339,5,2,3,0,Medium,1.0,9.0
1800002951,C000001,2022-05-30,2022-06-29,158296.34,11.972230442190336,30,Logistics,3,Midwest,1,NT30,10.636363636363637,1.0,10,116708.15727272727,5,2,0,0,Medium,1.0,9.0
1800004699,C000001,2022-06-28,2022-07-28,201227.55,12.212196605749416,30,Logistics,3,Midwest,1,NT30,10.0,1.0,11,123751.44,6,2,1,1,Medium,1.0,3.0
1800004170,C000001,2022-07-06,2022-08-05,242563.82,12.399024252610742,30,Logistics,3,Midwest,1,NT30,10.153846153846153,1.0,12,132890.85384615386,7,3,2,0,Medium,1.0,12.0
1800000978,C000001,2022-11-11,2022-12-11,15054.56,9.619502637168582,30,Logistics,3,Midwest,1,NT30,12.071428571428571,1.0,13,124473.97571428573,11,4,4,0,Medium,1.0,37.0
1800002002,C000001,2022-12-28,2023-01-27,143492.26,11.874043344437636,30,Logistics,3,Midwest,1,NT30,11.933333333333334,1.0,14,125741.86133333333,12,4,2,1,Medium,1.0,10.0
1800003355,C000001,2023-01-01,2023-01-31,40094.31,10.599014648848602,30,Logistics,3,Midwest,1,NT30,12.0625,1.0,15,120388.889375,1,1,6,0,Medium,1.0,14.0
1800003144,C000001,2023-01-30,2023-03-01,95381.85,11.46565407188389,30,Logistics,3,Midwest,1,NT30,11.411764705882353,1.0,16,118917.88705882353,1,1,0,0,Medium,1.0,1.0
1800002633,C000001,2023-02-24,2023-03-26,114206.22,11.645769796622407,30,Logistics,3,Midwest,1,NT30,11.38888888888889,1.0,17,118656.12777777777,2,1,4,0,Medium,1.0,11.0
1800000671,C000001,2023-05-27,2023-06-26,140851.15,11.85546603765376,30,Logistics,3,Midwest,1,NT30,11.578947368421053,1.0,18,119824.28684210527,5,2,5,0,Medium,1.0,15.0
1800004622,C000001,2023-08-09,2023-09-08,34487.57,10.448383243778215,30,Logistics,3,Midwest,1,NT30,11.25,1.0,19,115557.451,8,3,2,0,Medium,1.0,5.0
1800000600,C000001,2023-09-08,2023-10-08,35580.34,10.47957662211829,30,Logistics,3,Midwest,1,NT30,11.571428571428571,1.0,20,111749.01714285713,9,3,4,1,Medium,1.0,18.0
1800001888,C000001,2023-09-19,2023-10-19,67871.94,11.12539270686775,30,Logistics,3,Midwest,1,NT30,11.681818181818182,1.0,21,109754.60454545454,9,3,1,1,Medium,1.0,14.0
1800001018,C000001,2024-01-28,2024-02-27,162029.76,11.995541472733462,30,Logistics,3,Midwest,1,NT30,11.391304347826088,1.0,22,112027.43739130435,1,1,6,0,Medium,1.0,5.0
1800004448,C000001,2024-03-29,2024-04-28,145431.61,11.887468096789233,30,Logistics,3,Midwest,1,NT30,10.916666666666666,0.9583333333333334,23,113419.27791666666,3,1,4,1,Medium,0.0,0.0
1800000698,C000001,2024-05-10,2024-06-09,163910.75,12.007083452217223,30,Logistics,3,Midwest,1,NT30,10.96,0.96,24,115438.9368,5,2,4,0,Medium,1.0,12.0
1800000933,C000001,2024-06-22,2024-07-22,8901.98,9.094141331137362,30,Logistics,3,Midwest,1,NT30,10.576923076923077,0.9615384615384616,25,111341.36153846154,6,2,5,1,Medium,1.0,1.0
1800004938,C000002,2021-03-17,2021-04-16,80012.03,11.289944775393327,30,Logistics,3,International,0,NT30,-1.0,0.0,0,80012.03,3,1,2,1,Low,0.0,-1.0
1800001008,C000002,2021-03-21,2021-04-20,75883.37,11.236966013323709,30,Logistics,3,International,0,NT30,0.5,0.5,1,77947.7,3,1,6,1,Low,1.0,2.0
1800001263,C000002,2021-03-22,2021-04-21,164742.81,12.012146879579998,30,Logistics,3,International,0,NT30,0.3333333333333333,0.3333333333333333,2,106879.40333333332,3,1,0,1,Low,0.0,0.0
1800000044,C000002,2021-07-05,2021-08-04,124685.09,11.733554577731704,30,Logistics,3,International,0,NT30,0.75,0.5,3,111330.825,7,3,0,0,Low,1.0,2.0
1800004361,C000002,2021-08-03,2021-09-02,213597.21,12.27185200588325,30,Logistics,3,International,0,NT30,1.2,0.6,4,131784.102,8,3,1,0,Low,1.0,3.0
1800004187,C000002,2021-08-21,2021-09-20,245065.83,12.409286227840592,30,Logistics,3,International,0,NT30,1.3333333333333333,0.6666666666666666,5,150664.38999999998,8,3,5,0,Low,1.0,2.0
1800001526,C000002,2022-11-19,2022-12-19,238658.79,12.382794344010414,30,Logistics,3,International,0,NT30,1.0,0.5714285714285714,6,163235.01857142855,11,4,5,0,Low,0.0,-1.0
1800003155,C000002,2023-01-15,2023-02-14,81327.41,11.30625068098816,30,Logistics,3,International,0,NT30,1.5,0.625,7,152996.5675,1,1,6,0,Low,1.0,5.0
1800003981,C000002,2023-01-31,2023-03-02,179134.68,12.09589878652126,30,Logistics,3,International,0,NT30,1.4444444444444444,0.6666666666666666,8,155900.8022222222,1,1,1,0,Low,1.0,1.0
1800004057,C000002,2023-02-24,2023-03-26,175622.91,12.076100112645193,30,Logistics,3,International,0,NT30,1.4,0.7,9,157873.01299999998,2,1,4,0,Low,1.0,1.0
1800002967,C000002,2023-02-26,2023-03-28,91428.05,11.423318540641842,30,Logistics,3,International,0,NT30,1.5454545454545454,0.7272727272727273,10,151832.5618181818,2,1,6,0,Low,1.0,3.0
1800004429,C000002,2023-04-17,2023-05-17,41663.9,10.637414326717423,30,Logistics,3,International,0,NT30,1.9166666666666667,0.75,11,142651.84,4,2,0,0,Low,1.0,6.0
1800000938,C000002,2023-05-29,2023-06-28,161824.32,11.994272760856527,30,Logistics,3,International,0,NT30,2.076923076923077,0.7692307692307693,12,144126.64615384614,5,2,0,0,Low,1.0,4.0
1800004390,C000002,2023-06-04,2023-07-04,189055.69,12.14980219615659,30,Logistics,3,International,0,NT30,1.7857142857142858,0.7142857142857143,13,147335.86357142858,6,2,6,1,Low,0.0,-2.0
1800000768,C000002,2023-07-22,2023-08-21,103183.97,11.544278481888249,30,Logistics,3,International,0,NT30,1.4666666666666666,0.6666666666666666,14,144392.404,7,3,5,0,Low,0.0,-3.0
