BELNR,BUKRS,GJAHR,BUZEI,KUNNR,BLART,BLDAT,BUDAT,FAEDT,AUGDT,DMBTR,WAERS,SHKZG,ZTERM
1800000000,1000,2022,001,C000096,DR,2022-07-11,2022-07-11,2022-10-09,2022-10-09,214007.1,USD,S,NT90
1800000001,1000,2023,001,C000200,DR,2023-02-20,2023-02-20,2023-04-06,2023-04-06,25739.3,USD,S,NT45
1800000002,1000,2023,001,C000078,DR,2023-07-21,2023-07-21,2023-08-20,2023-09-15,136572.0,USD,S,NT30
1800000003,1000,2024,001,C000093,DR,2024-03-24,2024-03-24,2024-04-23,2024-04-26,244482.79,USD,S,NT30
1800000004,1000,2023,001,C000046,DR,2023-06-21,2023-06-21,2023-08-20,2023-08-20,90309.79,USD,S,NT60
1800000005,1000,2021,001,C000105,DR,2021-08-14,2021-08-14,2021-08-28,2021-10-02,48262.33,USD,S,NT14
1800000006,1000,2021,001,C000116,DR,2021-02-11,2021-02-11,2021-03-28,2021-04-19,31417.77,USD,S,NT45
1800000007,1000,2021,001,C000053,DR,2021-05-27,2021-05-27,2021-07-11,2021-07-11,212160.26,USD,S,NT45
1800000008,1000,2022,001,C000143,DR,2022-09-11,2022-09-11,2022-12-10,2022-12-10,114224.62,USD,S,NT90
1800000009,1000,2023,001,C000082,DR,2023-08-01,2023-08-01,2023-08-15,2023-09-02,166029.42,USD,S,NT14
1800000010,1000,2023,001,C000188,DR,2023-12-07,2023-12-07,2024-01-21,2024-01-22,160784.41,USD,S,NT45
1800000011,1000,2021,001,C000096,DR,2021-07-07,2021-07-07,2021-10-05,2021-10-12,149689.34,USD,S,NT90
1800000012,1000,2023,001,C000168,DR,2023-02-17,2023-02-17,2023-04-18,2023-04-24,6318.01,USD,S,NT60
1800000013,1000,2021,001,C000131,DR,2021-04-09,2021-04-09,2021-05-24,2021-05-23,196911.85,USD,S,NT45
1800000014,1000,2023,001,C000010,DR,2023-09-15,2023-09-15,2023-10-30,2023-11-06,61648.66,USD,S,NT45
1800000015,1000,2023,001,C000095,DR,2023-06-18,2023-06-18,2023-07-18,2023-07-17,32355.05,USD,S,NT30
1800000016,1000,2024,001,C000058,DR,2024-01-01,2024-01-01,2024-03-01,2024-03-03,141579.92,USD,S,NT60
1800000017,1000,2022,001,C000153,DR,2022-05-16,2022-05-16,2022-07-15,2022-07-18,18083.93,USD,S,NT60
1800000018,1000,2024,001,C000144,DR,2024-03-11,2024-03-11,2024-05-10,2024-05-18,191524.19,USD,S,NT60
1800000019,1000,2023,001,C000132,DR,2023-10-31,2023-10-31,2023-11-14,2023-11-16,52582.19,USD,S,NT14
1800000020,1000,2022,001,C000199,DR,2022-03-07,2022-03-07,2022-03-21,2022-04-19,217554.16,USD,S,NT14
1800000021,1000,2021,001,C000184,DR,2021-10-06,2021-10-06,2021-11-05,2021-12-08,37740.99,USD,S,NT30
1800000022,1000,2022,001,C000153,DR,2022-01-01,2022-01-01,2022-03-02,2022-03-10,225232.23,USD,S,NT60
1800000023,1000,2023,001,C000126,DR,2023-08-15,2023-08-15,2023-09-14,2023-10-07,1706.05,USD,S,NT30
1800000024,1000,2022,001,C000035,DR,2022-03-08,2022-03-08,2022-06-06,2022-06-06,214743.13,USD,S,NT90
1800000025,1000,2023,001,C000122,DR,2023-12-14,2023-12-14,2023-12-28,2024-01-03,37027.31,USD,S,NT14
1800000026,1000,2022,001,C000109,DR,2022-06-24,2022-06-24,2022-09-22,2022-10-17,63412.89,USD,S,NT90
1800000027,1000,2022,001,C000040,DR,2022-01-22,2022-01-22,2022-02-05,2022-02-21,165603.35,USD,S,NT14
1800000028,1000,2024,001,C000136,DR,2024-06-21,2024-06-21,2024-08-20,2024-08-25,7419.26,USD,S,NT60
1800000029,1000,2022,001,C000085,DR,2022-01-03,2022-01-03,2022-03-04,2022-03-26,4700.22,USD,S,NT60
1800000030,1000,2021,001,C000005,DR,2021-06-22,2021-06-22,2021-07-06,2021-07-13,197706.18,USD,S,NT14
1800000031,1000,2021,001,C000057,DR,2021-05-13,2021-05-13,2021-06-12,2021-06-12,60244.97,USD,S,NT30
1800000032,1000,2022,001,C000077,DR,2022-11-11,2022-11-11,2022-12-26,2023-01-02,81619.09,USD,S,NT45
1800000033,1000,2024,001,C000149,DR,2024-05-02,2024-05-02,2024-05-16,2024-05-17,44387.3,USD,S,NT14
1800000034,1000,2023,001,C000185,DR,2023-06-06,2023-06-06,2023-07-06,2023-07-13,14047.36,USD,S,NT30
1800000035,1000,2022,001,C000006,DR,2022-06-21,2022-06-21,2022-08-05,2022-08-05,185687.8,USD,S,NT45
1800000036,1000,2024,001,C000133,DR,2024-05-20,2024-05-20,2024-06-19,2024-06-26,131995.3,USD,S,NT30
1800000037,1000,2022,001,C000141,DR,2022-10-12,2022-10-12,2023-01-10,2023-01-26,186670.65,USD,S,NT90
1800000038,1000,2021,001,C000017,DR,2021-03-30,2021-03-30,2021-06-28,2021-07-19,119585.25,USD,S,NT90
1800000039,1000,2021,001,C000084,DR,2021-07-30,2021-07-30,2021-09-28,2021-10-24,194726.24,USD,S,NT60
1800000040,1000,2023,001,C000124,DR,2023-12-22,2023-12-22,2024-03-21,2024-03-25,128796.25,USD,S,NT90
1800000041,1000,2023,001,C000175,DR,2023-07-27,2023-07-27,2023-10-25,2023-10-25,28154.45,USD,S,NT90
1800000042,1000,2021,001,C000128,DR,2021-12-05,2021-12-05,2022-01-19,2022-01-19,126455.83,USD,S,NT45
1800000043,1000,2021,001,C000146,DR,2021-02-11,2021-02-11,2021-03-13,2021-03-12,236408.5,USD,S,NT30
1800000044,1000,2024,001,C000002,DR,2024-04-22,2024-04-22,2024-07-21,2024-07-23,11797.89,USD,S,NT90
1800000045,1000,2021,001,C000194,DR,2021-05-27,2021-05-27,2021-08-25,2021-08-27,196023.52,USD,S,NT90
1800000046,1000,2022,001,C000200,DR,2022-12-02,2022-12-02,2023-01-16,2023-01-19,216878.25,USD,S,NT45
1800000047,1000,2023,001,C000049,DR,2023-04-17,2023-04-17,2023-06-16,2023-06-30,130841.35,USD,S,NT60
1800000048,1000,2021,001,C000099,DR,2021-05-02,2021-05-02,2021-06-16,2021-06-18,115052.59,USD,S,NT45
1800000049,1000,2022,001,C000012,DR,2022-09-11,2022-09-11,2022-09-25,2022-09-25,241042.52,USD,S,NT14
1800000050,1000,2021,001,C000035,DR,2021-05-17,2021-05-17,2021-08-15,2021-08-13,16145.53,USD,S,NT90
1800000051,1000,2023,001,C000084,DR,2023-10-10,2023-10-10,2023-12-09,2023-12-04,120266.5,USD,S,NT60
1800000052,1000,2023,001,C000181,DR,2023-04-18,2023-04-18,2023-06-17,2023-06-18,101002.7,USD,S,NT60
1800000053,1000,2021,001,C000105,DR,2021-09-26,2021-09-26,2021-10-10,2021-12-01,123076.94,USD,S,NT14
1800000054,1000,2022,001,C000080,DR,2022-09-17,2022-09-17,2022-11-01,2022-11-11,227515.51,USD,S,NT45
1800000055,1000,2023,001,C000053,DR,2023-06-08,2023-06-08,2023-07-23,2023-07-23,19299.19,USD,S,NT45
1800000056,1000,2023,001,C000037,DR,2023-08-23,2023-08-23,2023-10-22,2023-11-01,21116.83,USD,S,NT60
1800000057,1000,2024,001,C000089,DR,2024-06-04,2024-06-04,2024-08-03,2024-08-17,152466.06,USD,S,NT60
1800000058,1000,2024,001,C000145,DR,2024-03-27,2024-03-27,2024-04-10,2024-04-15,17354.88,USD,S,NT14
1800000059,1000,2022,001,C000024,DR,2022-04-12,2022-04-12,2022-05-27,2022-06-21,158636.1,USD,S,NT45
1800000060,1000,2024,001,C000042,DR,2024-01-14,2024-01-14,2024-03-14,2024-03-18,137540.75,USD,S,NT60
1800000061,1000,2022,001,C000162,DR,2022-10-18,2022-10-18,2022-12-02,2022-12-09,81971.18,USD,S,NT45
1800000062,1000,2024,001,C000110,DR,2024-03-02,2024-03-02,2024-04-01,2024-03-28,248662.31,USD,S,NT30
1800000063,1000,2022,001,C000179,DR,2022-07-19,2022-07-19,2022-09-02,2022-09-02,133108.65,USD,S,NT45
1800000064,1000,2022,001,C000074,DR,2022-01-18,2022-01-18,2022-04-18,2022-04-18,113975.14,USD,S,NT90
1800000065,1000,2022,001,C000011,DR,2022-06-16,2022-06-16,2022-07-31,2022-08-03,151751.27,USD,S,NT45
1800000066,1000,2021,001,C000036,DR,2021-11-28,2021-11-28,2021-12-28,2022-01-02,25695.44,USD,S,NT30
1800000067,1000,2022,001,C000033,DR,2022-06-28,2022-06-28,2022-07-12,2022-07-12,175743.08,USD,S,NT14
1800000068,1000,2021,001,C000122,DR,2021-05-21,2021-05-21,2021-06-04,2021-06-14,213345.39,USD,S,NT14
1800000069,1000,2023,001,C000086,DR,2023-07-25,2023-07-25,2023-08-08,2023-08-11,163078.25,USD,S,NT14
1800000070,1000,2023,001,C000080,DR,2023-12-03,2023-12-03,2024-01-17,2024-01-23,192471.72,USD,S,NT45
1800000071,1000,2023,001,C000089,DR,2023-09-15,2023-09-15,2023-11-14,2023-12-05,180489.14,USD,S,NT60
1800000072,1000,2021,001,C000191,DR,2021-12-16,2021-12-16,2022-03-16,2022-04-14,113437.17,USD,S,NT90
1800000073,1000,2023,001,C000104,DR,2023-11-14,2023-11-14,2023-11-28,2023-12-13,57894.9,USD,S,NT14
1800000074,1000,2022,001,C000024,DR,2022-10-15,2022-10-15,2022-11-29,2022-12-03,113921.23,USD,S,NT45
1800000075,1000,2023,001,C000077,DR,2023-02-05,2023-02-05,2023-03-22,2023-03-24,104581.42,USD,S,NT45
1800000076,1000,2024,001,C000126,DR,2024-06-15,2024-06-15,2024-07-15,2024-07-27,24676.37,USD,S,NT30
1800000077,1000,2021,001,C000172,DR,2021-02-25,2021-02-25,2021-04-11,2021-04-29,107264.24,USD,S,NT45
1800000078,1000,2022,001,C000070,DR,2022-08-10,2022-08-10,2022-11-08,2022-11-11,166611.86,USD,S,NT90
1800000079,1000,2022,001,C000051,DR,2022-10-01,2022-10-01,2022-11-30,2022-12-11,94200.95,USD,S,NT60
1800000080,1000,2021,001,C000020,DR,2021-05-05,2021-05-05,2021-05-19,2021-05-19,39007.09,USD,S,NT14
1800000081,1000,2023,001,C000109,DR,2023-04-19,2023-04-19,2023-07-18,2023-08-11,17716.19,USD,S,NT90
1800000082,1000,2024,001,C000092,DR,2024-01-13,2024-01-13,2024-02-27,2024-02-27,208111.2,USD,S,NT45
1800000083,1000,2022,001,C000057,DR,2022-09-04,2022-09-04,2022-10-04,2022-10-05,24214.3,USD,S,NT30
1800000084,1000,2022,001,C000060,DR,2022-10-29,2022-10-29,2022-12-28,2022-12-28,25044.54,USD,S,NT60
1800000085,1000,2022,001,C000028,DR,2022-05-03,2022-05-03,2022-08-01,2022-08-29,203130.55,USD,S,NT90
1800000086,1000,2022,001,C000068,DR,2022-04-27,2022-04-27,2022-06-11,2022-06-16,139536.31,USD,S,NT45
1800000087,1000,2021,001,C000148,DR,2021-12-30,2021-12-30,2022-02-13,2022-03-09,147029.81,USD,S,NT45
1800000088,1000,2022,001,C000035,DR,2022-03-26,2022-03-26,2022-06-24,2022-06-28,140835.02,USD,S,NT90
1800000089,1000,2022,001,C000105,DR,2022-05-31,2022-05-31,2022-06-14,2022-07-05,31435.59,USD,S,NT14
1800000090,1000,2023,001,C000142,DR,2023-01-17,2023-01-17,2023-03-03,2023-03-07,89045.92,USD,S,NT45
1800000091,1000,2023,001,C000116,DR,2023-07-04,2023-07-04,2023-08-18,2023-08-30,166669.79,USD,S,NT45
1800000092,1000,2022,001,C000162,DR,2022-03-30,2022-03-30,2022-05-14,2022-05-11,187820.78,USD,S,NT45
1800000093,1000,2021,001,C000005,DR,2021-06-30,2021-06-30,2021-07-14,2021-07-21,217154.95,USD,S,NT14
1800000094,1000,2023,001,C000018,DR,2023-02-28,2023-02-28,2023-04-14,2023-04-29,180544.11,USD,S,NT45
1800000095,1000,2023,001,C000011,DR,2023-10-03,2023-10-03,2023-11-17,2023-11-22,242131.26,USD,S,NT45
